unit_order,unit_id,unit_title,R2536,Met-1981.373,A4095,L4044,P3466,R2407,P5881
321,7139520b-fb57-4859-9276-23f2d382a532,Kalīla Had Feared Reprehensions for Being Responsible,,,,,وكان كليلة لمّا خرج عن دمنة فكّر في نفسه وقال أنا المأخوذ بسبب دمنة والمسؤول عن شأنه فإن أخبرت بأمره كنت عونًا على هلاكه وإن أنا سكتّ عوقبت بسببه فأخذه قلق وتحيّر,وإن كليله ممّا حمل على قلبه من أمر دمنة وما يبلغه عنه من الأقاويل مرض,
322,e06827df-0fa5-4b92-aa98-46caa5ce7e6e,Ruzbeh/Fayruz Tells Dimna of Kalila's Death,انطلق إلى دمنة إلى السجن فأخبره بموت كليلة,انطلق إلى دمنة فأخبره بموت كليلة,انطلق إلى دمنة فأخبره بموت كليلة,,فانطلق الشعهر إلى دمنة فأخبره بموت كليلة,فانطلق إلى دمنة وأخبره بموت كليله,انطلق إلى دمنة وهو في السجن فأخبره بموت أخيه كليلة
323,cdd887e1-8a1d-4716-9bb3-f0d29a3d19c9,Dimna Grieves for Kalila,فبكى عليه دمنة لما كان بينه وبينه من القرابة والصداقة وقال ما أصنع اليوم بالحياة وقد مات أخي وصديقي,فبكا دمنة لما كان بينه وبينه وقال ما أصنع اليوم بالحياة وقد هلك أخي وصفيّ,فبكى بكاءً شديدًا وقال ما أصنع اليوم بالحياة وقد هلك أخي وصفيّ,,فحزن وبكى وقال ما أصنع بالدنيا بعد مفارقة الأخ الصفيّ وبعد,فبكاء دمنة بكاء شديد حزنًا على كليله وقال ما أصنع وقد فارقت الأخ الصدوق,فبكى دمنة حين سمع بموت كليلة بكاء شديدًا وقال ما أصنع اليوم بالحياة وقد فارقني الأخ الشقيق
324,bea5a654-9c38-4bf1-8902-cffcea2f263b,Misfortunes Never Come Singly,لقد صدق الإنسان الذي قال إذا ابتلى المرء بشئ واحد أتاه الشرّ من كلّ مكان واكتنفه من الهمّ والحزن مثل ما قد أصابني,لقد صدق القائل في مثله إذ يقول إنّ الإنسان إذا ما امتلئ الشرّ من كلّ جانب واكتنفه الهمّ والحزن,لقد صدق القائل إنّ الإنسان إذا ابُتليَ أتاه الشرّ من كلّ جانبٍ واكتنفه من الهمّ والحزن مثل الذي بي,,,,لقد صدق القائل إذ يقول إذا ابتلي الإنسان ببليّة أتاه الشديد من كلّ جانب واكتنفه الهمّ والحزن من كلّ مكان
325,3232fff7-4cf0-4179-904f-d1199b36fd4e,Dimna Asks Ruzbeh to Be His Friend,وقد رزقت مع ما دخل عليّ من يودّني ويتعاهدني بما قد منّ الله عليّ من إخائك وأرجو أن تكون لي في المودّة والعطف عليّ من مؤاخاتك والنظ رلي مثل كون أخي كليلة وأكثر من ذلك إن شاء الله وإن تُعنى بأمري كما يُعنى به أخو الحِفاظ,وقد رأيت ما دخل عليّ من موت صاحب مودّتي وأخي وصفيّ وشاهدي بما فيه رشدي وقد أخلف الله لي أخًا ليس بدونه بل أرجو أن يكون أفضل عطفًا عليّ ونظرة إليّ منه وأن يهتمّ من أمري بما يُعتبر به أحقّ الحفظ,وقد رأيت مع ما دخل عليّ بمؤدّبي ومتعهّدي بما فيه رشدي وقد أبقى الله لي منك أخًا ليس بدونه بل أرجو أن تكون أفضل منه عطفًا عليّ ونظرًا لي وأن تهتمّ في أمري بما بعثني به أخو الحفاظ,,فَقَدْ وثقت بنعمة الله وإحسانه إليّ فيما رأيت من اهتمامك ومراعاتك لي وقد علمت أنّك رجائي وركني وتحبّ خلاصي ممّا أنا فيه,ولكن الحمدلله الذي فارقني كليله وأبقى لي من ذوي الأقارب أخًا مثلك وقد علمت رجاء ما أنا فيه وإنّك تحبّ منفعتي كحبّك لنفسك,وأنا قد فارقت أخي الذي كان لي أنسًا ويدفع عنّي ما ألقى وقد أحسن الذي قال إنّ الأخ لا بعد له شيء وقد علمت أنّ مثلك في إخائي ورغبتك في منفعتي ما رغّبني فيك وفي إخائك وأنا أرجو أن لا يكون لي أفضل منك عوض أخي كليلة إن تهتمّ بأمري وتفعل معي ما أنت له أهل
326,e5c79c78-1ece-408d-ba38-4e83a1a05b27,Dimna Has Ruzbeh Fetch Their Belongings,فإن رأيت أن تنطلق إلى منزل كليلة وتأتي بما كان لي وله فيه فافعلْ ومضى روزبه فأتاه بما سأل فأعطاه دمنة نصيب كليلة وقال له أنت أحقّ به وأولى به من غيرك,فإن رأيت أن تنطلق إلي منزل كليلة فتأتني بما كان له فافعلْ فانطلق روزنة فأتاه وأعطاه نصيب كليلة وقال له أنت أحقّ به من غيرك,فإن رأيت أن تنطلق إلى منزل كليلة فتأتيني بما كان لي وله فيه فأفعل فلمّا جاء به أعطاه نصيب كليلة كلّه وقال أنت أحقّ به من غيرك,,فأريدك تنطلق إلى مكان كذا وتنظر إلى ما جمعته أنا وأخي كليلة بحيلتنا وسعينا فتأتيني به ففعل الشعهر ما أمره دمنة,فانطلق إلى مكان كذا وكذا وانظر إلى ما جمعت أنا وكليله فأثنى به ففعل السعهر وانطلق لما أمره,فإذا رأيت أن تنطلق إلى منزل أخي كليلة وتأتني بما كان لي فيه فافعلْ ذلك ممنًّا عليّ به قال فمضى روزبه ففعل ما أمره دمنة وأتى بذلك إليه فأعطاه دمنة الذي كان لأخيه كليلة
327,b48e3b7e-b2fe-4d37-b151-052edbe9b0a3,"Dimna Gives Ruzbeh Half, Asks Him to Put in Good Word with Lion and Mother and Report Their Words to Him",وطلب اليه وسأله أن يحضر له عند الأسد بخير وأن يعلمه ما تذكر منه أمّ ما تذكر منه أمّ الأسد,فطلب منه أن يحضر عند الأسد فيسمع ما يُقال وما تذكر منه أمّ الأسد فوعده بذلك,وطلب إليه أن يحضره عند الأسد بخيرٍ وأن يُعلّمه ما تذكر أمّ الأسد منه عنده,,فلمّا وضع المال بين يديه أعطاه شطره وقال له إنّك على الدخول والخروج على الأسد إذا شئت أقدر من غيرك فتفرّغ لشأني واصرف اهتمامك إليّ واسمع ما أذكَر به عند الأسد إذا رُفع إليه ما يجري بيني وبين الخصوم وما يبدأ من أمّ الأسد في حقّي وما ترى من متابعة الأسد لها ومخالفته إيّاها واحفظ ذلك وأفهمنيه,فلمّا وضعه بين يديه أعطاه حصّة كليله منه ثمّ أوصاه إذا دخل على الأسد أن يتوصّل إلى حقّه بمعروفٍ,ثمّ قال له دمنة أنت أحقّ به من غيرك وطلب منه أن يحضره عند الأسد ويذكره عنده بخير وأن يعلمه ما يذكره الأسد عنده ويرفعه
328,06dc1008-cc09-4c75-92aa-ef34fe432afa,Dimna's Gift Is to Reward Ruzbeh's Friendship,,,,,,,
329,addbea89-1537-442a-ae85-7d175c627bbf,Ruzbeh Accepts Gift,,وقبل منه ما أعطاه,فوعده [فوعده] ذلك وقبل ما أعطاه,,فأخذ الشعهر ما أعطاه دمنة وانصرف عنه على هذا العهد فانطلق إلى حيّه فخبّأه فيه,فأخذ السعهر ذلك فدفنه,فقبل منه ما أعطاه
330,06b0f2f1-b2e8-4383-8893-868847bda448,Scene 9. Lion Receives Court Records,,,,,,,
331,290b204e-c616-4cdb-bc1a-e35e37fbb336,Leopard & Judge Bring Lion the Court Records Who Has Them Copied,فوافى النمر والقاضي قد أتياه بالكتب ووضعاها بين يديه ينظر فيها وأمر بكتّابه أن ينسخوها للنمر,ثمّ إنّ روزنة غدا إلى الأسد فوافق النمر والقاضي قد أتياه بالكتب فوضعوها بين يديه فنظر إليها وأمر كاتبه بنسخها ودفعها إلى النمر,[ثمّ] إنّ فيروز غدا إلى الأسد فوافق النمر عنده والقاضي قد أتياه بالكتب فوضعاها بين يديه فنظر فيها وأمر كاتبه بنسخها ودفعها إلى النمر,فلمّا كان من الغد من ذلك اليوم دخل القاضي على الأسد في طائفة من وجوه من كان حضر مجلسه بالأمس فرفع إليه كتابًا فيه ما قال دمنة في معاذيره فقبض الأسد ذلك الكتاب وأمرهم بالانصراف عنه,ثمّ إنّ الأسد بكّر من الغد فجلس حتّى إذا مضى من النهار ساعتان استأذن عليه أصحابه فأذن لهم فدخلوا عليه ووضعوا الكتاب بين يديه,ولمّا كان من الغد استأذنوا الجماعة للدخول على الأسد فأذن لهم فدخلوا ووضعوا الكتاب بين يديه,ثمّ إنّه غدا إلى الأسد فوافاه النمر والقاضي وقد أتياه بالكتب التي تقدّمت في ذلك الأمر فوضعاها بين يديه ثمّ نظر إليها مليًّا فأمر بكتابة نسخها ورفعها إلى النمر
332,4a0a7453-2163-4791-92b1-ebfbcb025825,Judge Orders Leopard and Judge to Return Dimna Before Court,وقال له وللقاضي انطلقا بدمنة قأوقِفاه إلى الجند وارفعا إليّ ما يكون من قولهم وعدوّه في ذلك,وقال للقاضي انطلقا بدمنة فأوقفاه للجند ثمّ ارفعوا ما يكون من قولهم وعذرهم في دمنة,وقال له وللقاضي انطلقا بدمنة فقِفاه للجند ثمّ ارفعا إليّ ما يكون منه وعذره في ذلك,,,ودُعي دمنة وخرجوا الجماعة *من عند الأسد,وقال له وللقاضي انطلقوا [[إليّ]] بدمنة فأوقفوه للجند ثمّ ارفعا ما يكون من قولهم فيه وعذره في ذلك إليّ
333,eb6e6691-7123-4f28-b8c4-99bd9106f317,Scene 10. Lion and Mother,,,,,,,
334,8458ce67-59aa-4391-b563-8e64cb26e510,Lion Reads Court Records to Mother,فلمّا خرجا [خرج دمنة] من عند الأسد أتته أمّ الأسد فقرأ عليها تلك الكتب والأخبار,فلمّا خرجوا بدمنة أتته أمّه فقرأ عليها ما كُتب,فلمّا أُخرجوا من عند الأسد أتته أمّه فقرأ عليها تلك الكتب,وأرسل إلى أمّه فقرأ عليها ذلك,فلمّا عرف قولهم وقول دمنة دعا بأمّه فقرأ عليها الكتاب,فلمّا خرجوا دعى الأسد أمّه وقرأ عليها الكتاب,قال فلمّا خرجوا من عند الأسد أتته أمّه فقرأ عليها تلك الكتب
335,42a7f840-4da5-4401-9337-d89c65f3ae5e,Mother Alerts Lion of His Own Benefit and Motivates Her Harsh Words,فقالت أمّ الأسد لا تحزن عليّ إن أنا اغلظت لك في القول فأنّي لا أراك تعرف ما يضرّك ممّا ينفعك لغرور هذا الفاجر المحتال فاسترحْ منه فإنّك أن استبقيته يفسد عليك جندك وانصرفت وهي غضبانة عليه,فقالت أمّ الأسد لا تلمْني إن أنا أغلظت لك في القول فإنّي أراك لا تعرف ما ينفعك ممّا يضرّك وإنّك لمغرور بقول هذا الفاجر المحتال فاسترحْ منه فإنّك إن أبقيته أفسد عليك جندك وفرّق جمعهم ثمّ انصرفت من عنده وهي غضباء,فقالت أمّ الأسد لا تَجِدَنّ عليّ إن أنا أغلظت لك في القول فإنّي لا أراك تعرف ما يضرّك ممّا ينفعك وليس هذا ممّا كنت أنهاك عنه من استماع قول هذا الفاجر المحتال فإنّك إن استبقيته أفسد عليك جندك وفرّق ملأهم وانصرفت من عنده وهي غضْبى عليه,فشقّ عليها ما رأت من الأسد وعطفه على دمنة وقالت إن أنا غلظت لك أيّها الملك فلا تغضب قال الأسد افعلي وأنعمي وقولي ما أحببت قالت ما أراك تعرف ما يضرّك ممّا ينفعك وإنّي لأحسب دمنة في طول تصريفك النظر في أمره سيهيّج عليك ما لا تقعد له ولا تقوم ثمّ جرجت عنه غضبانة,فلمّا سمعت ذلك نادت بأعلى صوتها إن أنا أغلظت في القول فلا تلمني فإنّك لست تعرف ضرّك من نفعك أليس هذا ممّا كنت أنهاك عن سمعه من كلام هذا المجرم المسيء إلينا قديمًا الغادر بذمّتنا ثمّ إنّها خرجت غضبى,فقالت إذا غلظت في القول فلا تلومني فإنّك لا تعلم ضررك من نفعك أما قلت لك لا تسمع قول هذا المجرم المأسي إلينا قديمًا,وقالت له لا تحزن على دمنة وإن أغلظ لك في القول لأنّك ما تعرف من يضرّك من الذي ينفعك لأنّك مغترّ بقول هذا الغادر الفاجر فاقتله واسترح منه فإنّك إن أبقيته أفسد عليك جندك بحيله ومكره
336,1b21b488-3b6f-4782-b36d-59e3f91eb771,Ruzbeh Reports Mother's Words to Dimna,ثمّ أن روزبة أتى دمنة في السجن فأخبرته بما قالت أمّ الأسد عند قراءة الكتب,فأتى روزنة دمنة فأخبره بذلك,ثمّ إنّ روزبه أتى دمنة فأخبره بذلك,,وذلك بعين الشعهر الذي آخاه دمنة وسمْعِه جميع ما قالت أمّ الأسد فخرج في إثرها مسرعًا فأتى دمنة فحدّثه بالحديث,وكان حاضر السعهر يسمع قول أمّ الأسد فخرج سريعًا وحدّث دمنة الحديث جميعه,قال ثمّ إنّ زوربه أتى إلى دمنة وأخبره بذلك كلّه
337,f42843bd-4a20-4109-8921-2a366d70c130,"Scene 11. Dimna's Process, Day Two (Dimna's Defense)",,,,,,,
338,ef67fd27-24ec-40e0-80ca-e326dd0b5cd4,Men Take Dimna Before Court,فبينا هو في حديثه أتته رسل القاضي فانطلقوا به فأقاموه للنّاس واجتمع الجند والرعيّة ودمنة واقف,فبينما هم في حديثهم إذ أتتهم رسل القاضي فانطلقوا به,فبينما هو في حديثه إذ أتاه رسول القاضي فانطلق به إليه,فلمّا كان من الغد بعث القاضي إلى دمنة فوقّفه للعامّة فلم يقولوا شيئًا,فبينما هو عنده إذ جاء رسول الأسد ففتح الباب وانطلق بدمنة إلى المجمع عند الأسد,فبينما هما كذلك إذ أتى لدمنة آتٍ استدعاه إلى القاضي,فبينما هو في حديثه معه إذ أتته رسل النمر والقاضي فانطلقوا به إليهما
339,7924cf1b-b13c-4afc-ab03-542c665990f0,Judge Consults Scholars on Kalila,,,,,,,
340,4c0fb838-6b1f-422b-8e41-354608decf3e,Head of Court Deems Extant Facts Sufficient,قال عظيم الجند قد عرفت أمرك يا دمنة وتيّقنته وأتاني من هو عندي أمين وليس ينبغي لي أن أسأل عن شئ منه ولا أنظر فيه مع ما قد فحصنا عنه,فقال عظيم الجند قد علمت أمرك وتيقّنته وأخبرني به من هو عندي أمين وليس ينبغي لي أن أسأل عن شيء من أمرك ولا أنظر فيه ولا أفحص عنه,فقال عظيم الجند قد علمت أمرك وتيقّنته وأتاني به من هو عندي أمينٌ وليس ينبغي لي أن أسأل عن شيئًا منه ولا أنظر فيه سوى ما قد فحصت,,فلمّا مثل بين يدي القاضي استفتح سيّد أهل المجلس الكلام فقال إنّه قد أتاني بخبرك الأمين الصادق وليس ينبغي لنا أن نفحص عن شأنك أكثر من هذا,فلمّا حضر بين يديه افتتح سيّد المجلس وقال قد أتاني خبرك يا دمنة بالأمس من الأمين الصادق وليس ينبغي أن يفحص عن شأنك أكثر من الذي فحصنا وإن كان خبّرنا من نثق بقوله,فلمّا وقف دمنة بين يديهما وجميع من حضر من الجند قال له عظيم الجند قد علمت أمرك يا دمنة وتيقّنته وأنبأني به من هو عندي أمين مصدّق وقد صحّ عندي ما أردت من ذلك
341,7de66e42-894e-49e9-9a72-4bdf44b0805d,God Placed Signs of Truth in the World and Prophets to Explain Them,,,فإنّ العلماء قالت إنّ الله جعل لكل شيءٍ من أمر الآخرة علمًا ومصداقًا فإمّا في الدنيا فقد دلّت عليه أنبياؤه ورسله,,لأنّ العلماء قد قالوا إنّ الله تعالى جعل الدنيا سببًا ومصداقًا للآخرة لأنّها دار الرسل والأنبياء الدالّين على الخير الهادين إلى الجنّة الدالّين إلى معرفة الله وقد ثبت شأنك عندنا,,
342,92996044-4868-4c80-81a5-1c570ad74239,Judge is Certain That Dimna Instigated the Lion against the Ox,,,,,,,لكثرة خداعك وحيلك ومكرك وسعيك في الثور من غير ذنب كان منه حتّى قتله الملك
343,28878aed-3c94-4ced-ac99-ebcdbff540ec,King's Mercy Permitted Investigation Despite Convincing Testimony,ولولا ما أمرنا به الملك لرأفته بالرعيّة وعطفه ورحمته لقد كان القضاء بيّنًا عليك,ولولا ما أمرنا به الملك لرأفته ورحمته بالرعيّة لكان القضاء عليك,ولولا ما أمرنا به الملك لرأفته ورحمته بالرعيّة لكان القضاء بيّنًا عليك,,إلّا أنّ سيّدنا أمرنا للعود في أمرك والفحص عن شأنك وإن كان بيّنًا عندنا,لكن سيّدنا أمرنا *بالعودة لإحضارك,ولولا ما أمر به الملك لرأفته بالرعيّة ورحمته إيّاها وشفقته بمناظرتك وسماع ما يقول الجند لكان القضاء بيّن عليك
344,7565de10-0670-441f-ae3c-fa1145630824,Judge Deems Court Members' Silent Thoughts to Be Sufficient Proof,,,,فقال له القاضي إنّه وإن سكت من حضر فلم يقولوا فيك شيئًا وإنّ ظنونهم قد اجتمعت على أنّك مجرم فلم أر لك خيرًا في الحياة بين ظهراني من يراك بعد استقرار تهمتك في قلوبهم,,,
345,0ee4c3ea-976f-45fb-8595-dee44d93ec85,Dimna Accuses Head of Court of Ignoring Facts,فقال دمنة إنّ منطقك ليس بذي رأفةٍ ولا رحمةٍ ولا نظرٍ في أمر مظلومٍ ولا طلب للحقّ والعدل,فقال دمنة إن منطقك ليس بمنطق ذي رأفة ورحمة ولا نظر في أمر مظلوم ولا طلبًا للحقّ والعدل,فقال دمنة إنّ منطقك ليس بذي وجهٍ ولا رأفةٍ ولا نظرٍ في أمر مظلومٍ ولا طلبٍ للحقّ والعدل,,قال دمنة أراك لم تتعوّد العدل في القضاء وليس في عدل الملوك الدفع عن المظلومين ومن لاذنب له بل المخاصمة عنهم والذبّ,قال دمنة *أراك لم تعد بالعدل في القضاء وليس في دفع المظلوم كمن لا ذنب له,قال دمنة إنّ منطقك هذا ليس فيه رأفة ولا رحمة ولا نظر في أمر مظلوم ولا طلبت الحقّ والعدل
346,86b4b857-60a9-4d35-9c3a-d71e2b50a9cf,After Three Days Dimna's Guilt Is Unproven,ولكنّي أراك راكبًا هواك تريد قتلي ولم يصحّ عندك شئ ممّا رُميت به ولم أبلغ بعد *ثلاثة أيّام,ولكنّي أراك راكبًا هواك تريد قتلي ولم يتبيّن لك شيء ممّا قُذفت به ولم أبلغ ثلاثة أيّام بعد,ولكنّي أراك راكبًا لهواك تريد قتلي ولم تستضئ لك شيءٌ من أمري وما قُذفتُ به ولم أبلغ ثلثة أيّامٍ بعد,,وكيف ترى أن أُقتل ولم أخاصم وتجعل ذاك موافقة لهواك ولم تمض بعد ثلاثة أيّام,فإن أرى أن أقتل وإن لم فأخصم وتجعل هذا لموافقة هواك فاجعل وهذا الأمر لم يمضي له ثلاثة أيّامٍ,ولكنّي أراك راكبًا لهواك تريد قتلي ولم يستضئ لك شيء ممّا قدمت عليه ولم أبلغ بعد ثلاثة أيّام
347,d60b7269-991f-4bab-99b7-5b48d18f430a,Vile People Dislike Good People,ولست بملوم عندي في ذلك لأنّ الفاجر لا يحبّ أهل الصلاح ولا من يعمل أعمال أهل التقى والبرّ,ولست بلائم في ذلك غيري لأنّ الفاجر لا يحبّ أهل الصلاح,ولست بملومٍ بذلك عندي لأنّ الفاجر لا يحبّ الصلاح وأهله ولا من يعمل أعمال التقى,,,ولكن صدق الذي قال إنّ الذي تعوّد بالعدل والبراهين عملُه عمل البرّ وهو مصرٌّ بمن عمله عمل الفاجر,ولست بملوم في ذلك عندي لأنّ الفاجر لا يحبّ أهل الصلاح ولا من يعمل بأعمال أهل التقوى ولا يضمر الخير ويبعد عن الشرّ
348,198c0994-c396-4f17-bd08-79f7bb3f7dc2,Who Acts Like Brahmins Acts Unjustly,,,,,ولكن صدق الذي قال إنّ الذي تعوّد عمل البرهميّين غلبه عمله وإن أضرّ به,,
349,6e9e67b8-748f-47a5-9514-44e9af426c14,A Judge Has the Authority to Punish and Reward,فقال القاضي إنّه يحقّ على الوالي أن يجازي المرء لصلاحه ويعرفه له ويكرمه عليه لأنّه أهل لكلّ خير أتى إليه وأن ينكّل بالمجرم على إساءته ويعاقبه عليه ليزداد أهل الخير الصلاح رغبةً وأهل الجرم عن الإساءة نزوعًا,فقال القاضي حقًّا على الوالي أن يُجازي المرء بصلاحه ويعرفه له ويكرمه لأنّه أهل لكلّ خير ومنكّل بكلّ مجرم وإذا نكّل بكلّ مجرم ازداد أهل الخير في الصلاح رغبة وأهل الجرائم عن الإساءة تورّعًا,فقال القاضي إنّ حقًّا على الوالي أن يُجازِيَ المرء بصلاحه ويعرفه له لأنّه أهلٌ لكلّ خيرٍ أُتي إليه وأن يُنكّل المجرم عن إساءته ويعذّبه عليها ويُعاقبه عليها ليزداد أهل الخير في الصلاح رغبةً وأهل الجرائم عن الإساءة نزوعًا,قال القاضي إنّ الحاكم العادل ينبغي له أن يعرف عمل المحسنين ليجزي المحسنين بإحسانهم والمسيئين بإساءتهم فإذا هو قد أحسن إلى الفريقين جميعًا فازداد المحسنون حرصًا على الإحسان والمسيئون اجتنابًا للذنوب,قال القاضي إنّا نجد في كُتُب الأوّلين أنّ القاضي العادل ينبغي له أن يعرف عمل المحسنين والمسيئين ليجزي المحسن بإحسانه والمسيء بإساءته فإذا هو قد أحسن إلى هذين لم يزداد المحسنون حرصًا على الإحسان والمسيئون اجتنابًا للإساءة,قال القاضي إنّا نجد في كتب الرشد أنّ القاضي العادل ينبغي له أن يعمل عمل المحسنين ليجازي المحسن بإحسانه والمسيء بإساءته,فقال القاضي عند ذلك حقًّا على الوالي أن يجاري كلّ أحد بصلاحه ويكافيه بعمله وإن ينكّل المجرم على إساءته ويعاقبه عليها ليزداد أهل الخير في الصلاح رغبة وأهل الجرائم عن الإساءة تروّعًا
350,024182de-1c11-4453-9f6b-5d09ddcb8dbc,Punishment In Here Is Better Than In Hereafter,ولعمري لأن يعاقب في الدنيا خير له من أنّ يعاقب في الآخرة غدًا,ولعمري لأن تعاقب في الدنيا خير لك من أن تعذّب في الآخرة,ولعمري لأن تُعاقب في الدنيا خيرٌ لك من أن تُعذّب في الآخرة غدًا,,,,ولعمري أن يعاقب أن المرء في الدنيا خيرًا له من أن يعذّب في الآخرة
351,0485e984-4756-40fa-a682-cce2fd58561a,Judge Enjoins Dimna to Confess,فأقِرّ بذنبك وأقِرّ بإساءتك واعترفْ بما كان من صنيعك,فبؤ بذنبك واعترفْ بإساءتك وما كان منك,فقرّ بذنبك وبوءه بإساءتك واعترف بصنيعك,والذي أرى لك ويحك يا دمنة أن تنظر في أمرك وفي الذي غشاك ووقعت فيه من الإثم فتتوب منه وتعترف بالحقّ,والرأي لك يا دمنة أن تنظر الذي وقعت فيه وتعترف بذنبك ثمّ تتوب,والرأي لك يا دمنة أن تنظر الذي وقعت فيه من الذنب فتعترف به وتتوب منه,فتُبْ يا دمنة من ذنبك واعترفْ بإساءتك فإنّه أفضل لك في عواقب الأمور
352,923ee584-6be8-4e1b-aa57-791bb20f23af,Confessing Crime Has Good Consequences,فإنّه أفضل لك في عواقب الأمور إن أنت هديت إلى ذلك ووفّقت له فتكون قد أخرجت نفسك من تبعة الآخرة وأثبت حسن القول في قوّتك على المخارج والمعاذير التي تدفع بها عن نفسك والأخرى إقرارك بالذنب اختيارًا بالسلامة في الآخرة,فإنّه أفضل لك في عواقب الأمور إن أنت هُديت لذلك ووُفّقت له,فإنّه أفضلٌ لك في عواقب الأمور إن أنت هُدِيت إلى ذلك ووُفّقت له,ولا أرى لك شيئًا خيرًا لك من أن تقرّ بذنبك فتخرج نفسك من تبعة الآخرة بالتوبة يعود لك أحسن القول من العامّة لخصلتين إحداهما قوّتك على المخارج,,,
353,c92e884c-890b-4442-bf96-6153529f1f6d,Death Deserved Is Better Than Life With Crime,فإنّ الموت فيما يحلّ خير من الحياة فيما يحرم,,,والأخرى فإنّ الموت فيما يزين خير من الحياة فيما يشين,,,
354,4315e1f1-68e5-4347-bdc9-0159643234e9,"Confession Is Better Than a Denial, and Finite Punishment on Earth Better Than Infinite Punishment in Hell",,,,فقد قيل إنّ الذي يُدان بالذنب بعد الضدّ منه والاعتراف به خير من المصرّ على ذنبه وأحسن حالًا من الجاحد له وأنت ميّت لا محالة وإن عُفي عنك فإنّ الذي يصيبك من بعد المضض جزاء لجرمك فتصبر عليه خير لك من أن تُعذّب في جهنّم التي لا رحمة فيها ولا راحة ولا انقطاع لعذابها,,,
355,d000452a-8ff3-4df7-8deb-ee2b429a878e,Dimna Agrees with Judge's Rationale,قال دمنة أيّها القاضي الصالح نطقت بالعدل وقلت مقالة الحكماء,وقلتَ بمقالة الحكماء حيث قالوا,فقال دمنة أيّها القاضي الصالح نطقت بالعدل وقلت مقالة الحكماء,قال دمنة قلتَ أيّها الحاكم قول الأتقياء البررة وصدقت في مقالك,,,فقال له دمنة صدقت أيّها القاضي الصالح المشفق الناصح ونطقت بالعدل وهُديت للصواب وقلت مقالة الحكماء ورأيت رأي العلماء
356,9f32d830-8071-4f77-adfa-942c2c5f9955,One Must Not Sacrifice Hereafter for Here,ولعمري إنّ من سعادة المرء أن لا يبيع آخرته بدنيا فانية منقطعة وأن لا يشتري روحًا يسيرًا بعذاب طويل,لعمري إن من خسران المرء أن يبيع آخرته بدنيا منقطعة ولا يشتري حياة نفسه بعذاب طويل,ولعمري إنّ من سعادة المرء أن لا يبيع آخرته بدنيا فانيةٌ منقطعةٌ ولا يشتري روحًا يسيرًا بعذابٍ طويل,,,,ولعمري إنّه من سعادة المرء أن لا يبيع آخرته بدنياه الفانية المضمحلّة فإنّ هذه الدار زائلة ومتقطّعة
357,4effc39d-a42e-4582-8386-4fc77b70181e,One Must Not Harm One's Soul for the Sake of One's Body,,,,ولكن في كتب الدين أيضًا أنّ السعيد من استطاع أن لا يعمل بجسمه عملًا يضرّ بروحه,,,
358,3187e55b-bd69-4a03-bd9c-5e013df2b5fb,One Must Harm One's Body for the Sake of One's Soul,,,,فقد قالت العلماء أيضًا إنّ العاقل من أضرّ بجسمه وتمسّك بروحه,,,
359,0486982e-157d-4c34-ae25-2a650b0d1245,One Must Not Hurt People with Undeserved Words,,,,وليس ينبغي أيضًا أن يُقال لأحد بشيء يكرهه إذا لم يكن له أهل,,,
360,60ebdb18-2cee-4021-81b1-9b804236063f,Dimna Despises His Body and Is No Sinner,,,,وإنّي لم أر لفرقي من الآخرة مهينًا لجسمي ممسكًا بروحي,,,
361,108bdbfb-e3e1-46fc-862a-43711a956182,Dimna Did Not Commit This Great Sin,,,,فكيف أكون تعاطيت هذا الذنب الذي هو أعظم الذنوب,,,
362,b3dad09a-413d-45cd-b2b1-227e377bb215,One Must Not Lie,,,,ووُجد بأقوال الرسل لا تكذب على أحد ولا تفتري عليه فكيف يفتري الإنسان على نفسه ويقول لما لم يفعل قد فعلته,,,
363,ddbdae24-44ce-4fdc-88da-b63fa92c2f66,Scholars Warn Against False Confession,,,,وقد قالت العلماء إنّ الذي تحمله مخافة شديدة أو جهالة على أن يلزم نفسه عملًا لم يعمله *فإنّه لم يسيء إلى نفسه ولا جاعله ذلك في الآخرة مع قتلة أنفسهم,,,لكنّي ممّا قُذفت به بريء وقد قالت العلماء إنّه من يحمل ?حوالىه على أن يلزم نفسه ذنبًا لم يعمله فإنّه لم يجزم ذلك إلّا على نفسه ومصيره مع ذلك أي قتل نفسه إلى جهنّم
