unit_order,unit_id,unit_title,A4095,CCCP578,Met-1981.373,P3465,P3471,R2536,P3473,P5881,P3475
72,12b00ee2-b011-462e-86c4-87eb62903272,Birth Is Painful,فإذا كان أبان ذلك سلّطت الريح على الرحم وقوي على التحريك فيتصوّب رأسه قبل المخرج فيجد من ضيقته مثل ما يجد صاحب الوهق من عصره,فإذا كان أيّان ذلك يُسلّط الريح على رحم أمّه وقوي على التحريك فتنصرف رأسه قِبَل المخرج الذي منه يخرج فيجد من ضيقته مثل ما يجد صاحب الرَّهَق من عصره,إبّان الولادة سُلّطت الريح على رحم الجامل وقوي على التحريك وقوي وصوّب رأسه قِبل المخرج فيجد من الضيق مثل ما يجد صاحب الدهر في عصره,فإذا كان أيّان المخاض والولادة سُلّطت ريح على رحم المرأة فتهبّ للجنين قوّة يقدر بها على الحركة فيضرب برأسه قِبَل المخرج من ضيقه وحرجه,فإذا كان أبان ولادته وبلغ ثلاث فصول وهو تسعة أشهر وتسعة أيّام وتسع ساعات سلّطت الريح على رحم أمّه كما كان أوّلًا وقوي على التحريك فينكّس رأسه إلى المخرج فيجد ما يجد صاحب الوهق من عصره,كان أبان ذلك سلّطت الريح على الرحم وقوي عليها التحريك فيصوّب رأسه قبل المخرج فيجد من ضيق المخرج ما يجد صاحب الدمّل في عصره,يوم ولادته سلّطت ريح على رحم أمّه وقوي على التحرّك فيضرب رأسه قِبَل المخرج فيجد من ضيقه ما يجد من عصره وألمه,فإذا كان أيّام الولادة سلّطت الريح على بطن أمّه ورحمها فقوى على التحريك فيضرب رأسه قبل المخرج فيجد في ذلك ما يجد صاحب ما يجد صاحب الوهن من شدّة إلّا بحصار وعصرة,
73,e7fe2e1b-940a-4b02-bd50-8f4fada89120,Suffering Of Newborn,فإذا وقع إلى الأرض فأصاب ريح أو مسّه يد وجد لذلك من الألم ما يجد الإنسان الذي قد سلخ جلده ثمّ هو في ألوان العذاب إذا جاع وليس به استطعام أو عطش وليس به استسقاء أو اشتكى وليس به استغاثة مع ما يلقى من الوضع والرفع واللفّ والحلّ والدهن والمسح وإذا أنيم على ظهره أو بطنه لم يستطع تقلّبًا ولا تحوّلًا مع أصناف من العذاب ما دام رضيعًا,فإذا وقع إلى الأرض فأصابته ريح أو مسّته يد وجد لذلك من الألم ما يجد الإنسان الذي سلخ جلده ثمّ هو في ألوان من العذاب إذا جاع فليس به استطعام وإذا عطش فليس به استسقاء أو وجع فليس به استغاثة مع ما يلقى من الرفع والوضع واللفّ والحلّ والدهن المسح وإذا أنيم على ظهره لم يتسطع تقلّبًا وأصناف من العذاب ما دام رضيعًا,فإذا وضعته أمّه فأصابته ريح أو مسّته يد وجد لذلك من الألم مثل ما يحصل للإنسان الذي يُسلخ جلده ثمّ هو في ألوان العذاب إذا جاع لا يقدر على الاستطعام وإذا عطش لا يقدر على الاستسقاء ويتألّم بالوضع والرفع واللفّ والحلّ والدهن والمسح ولا يقدر على الاستغاثة والشكاية ولا يستطيع تعليلًا ولا تحويلًا ولا يزال في ذلك ما دام رضيعًا,فإذا وقع إلى الأرض فأصابته ريح أو لمسته يد وجد لذلك الألم ما يجده الإنسان إذا سلخ جلده ثمّ هو في أنواع العذاب إن جاع فليس به استطعام أو عطش فليس به استسقاء أو وجع فليس به استغاثة مع ما يلقى من الوضع والحمل واللفّ والدهن والمسح إن أُنيم على ظهره لم يستطع تقلّبًا ثمّ يلقى أصناف العذاب ما دام رضيعًا,فإذا وقع على الأرض فأصابته ريح تسلخ جلده ثمّ هو في ألوان من العذاب إذا جاع وليس له استطعام وعطش وليس له استسقاء أو أصابه وجع وليس له استغاثة مع ما يلقى من الرفع والوضع واللفّ والحلّ والدهن والمسح والقمط وإذا انقلب على بطنه أو ظهره ولم يستطيع تقلّبًا ذاق ألوانًا وأضعافًا من العذاب ما دام رضيعًا,فإذا وقع إلى الأرض وأصابته الريح وجد لذلك من الألم ما يجد الإنسان إذا سلخ من جلده ثمّ هو في ألوان من العذاب إذا جاع وليس به استطعام أو عطش وليس به استسقاء أو وجع وليس به استغاثة مع ما يلقى من الرفع والوضع والحلّ والرشق إذا نام على ظهره لم يستطع تقلّبًا ولا تحويلًا ما دام رضيعًا مع أصناف من العذاب,فإذا وقع إلى الأرض فأصابته ريح أو مسّته يد وجد من ذلك الألم ما لم يجد الإنسان الذي قد سلخ جلده ثمّ يتنقّل في ألوان من العذاب إذا هو جاع وليس به استطعام أو عطش وليس به استسقاء أو تألّم وليس به استغاثة مع ما يلقى من الألم من الرفع والحطّ والقمط والحلّ والدهن والمسح والتمسيد وإذا أنيم على ظهره لا يستطيع تقلّبًا مع أصناف العذاب ما دام رضيعًا,إلى أن يقع إلى الأرض فإن أصابه ريح أو مسّه به وجد لذلك من الألم ما يجده الإنسان الذي قد سلخ من جلده ثمّ هو يعدّ في ألوان من العذاب إذا جاع فليس له استطعام وإن عطش فليس له استسقاء مع ما يلقى من الرفع والوضع واللفّ والحلّ والدهن والمسح فإذا نيّم على ظهره لا يستطيع قيامًا ولا انقلابًا مع أصناف من العذاب ما دام رضيعًا,
74,4b625a76-2336-47db-b689-6321b5d485b2,Pains Of Adulthood,فإذا هو أفلت من ذلك أخذ بالأدب وأذيق منه ضروبًا وألوانًا ثمّ الدواء والحمّية والأوجاع والأسقام وفي غير ذلك فّإذا هو أدرك فهم المال والأهل والولد وتعب الشره والحرص والخاطرة والسعي ومجاهدة العدد وفي,فإذا أفلت من عذاب الرضاع أخذ بعذاب الأدب فأُذيق منه ألوانًا والدواء والأوجاع والأسقام فإذا أدرك فَهِمَ الأهل والمال والولد والتعب والشره والحرص ومخاطرة الطلب,فإذا هو أكمل ذلك أُخذ في الأدب فأُذيق منه ألوانًا وضروبًا ثمّ لا بدّ وأن يقاسي أنواع الآلام والأسقام فيستعمل الدواء والحمية وغير ذلك ثمّ يشرع بعد الزواج في همّ الولد والمال وتعب الشره والحرص والمخاطرة في الطلب والسعي,فإذ أفلت من عذاب الرضاع أُخذ بعذاب الأدب فأذيق منه ألوانًا من عنف العلم وأدب وضجر الدرس وسآمة الكتابة ثمّ له من الدواء والحمّية والأسقام والأوجاع فإذا أدرك كانت همّته في جمع المال وتربية الولد ومخاطرة الطلب والسعي والكدّ والتعب,فإذا أفلت من عذاب الرضاع أخذ بعذاب آخر فإذا أخذ بذلك أذيق منه ألوانًا وصنوفًا وما يعرض له من الأذى والعلل والأسقام فإذا أدرك طلب المال وأهمّه الأهل والولد والتعب والنصب والحرص ومخالطة الناس ومخاطرة السعي,فإذا أفلت من عذاب الرضاع أخذ بعذاب الأدب فأذيق منه ألوانًا وفي الدواء والحمّيات والأسقام فإذا أدرك فهم المال والأهل والأولاد ويغلبه الشره والحرص ومخاطرة الطلب والسعي فالتمست,فإذا أفلت من عذاب الرضاع لقي عذاب الفطام وإذا أفلت من ذلك لقي عذاب الأدب فأذيق منه الوبال ثمّ في الدواء والحمّيّة والأوجاع والأسقام فإذا أدرك فهمّه المال والولد والتعب والشره والكدّة والحرص والسعي,فإذا انفلت من عذاب الرضاع أخذ في عذاب الأدب فأذيق منه ألوانًا ثمّ من الداء والدواء والحمية والأوجاع والآلام والأسقام أنواعًا كثيرة حتّى إذا أدرك أهمّه الأهل والمال والولد وتعب الشره والحرص ومخاطرة اللذ الطلب والسعي,
75,6aaa33fc-399a-4675-82af-dd6df986e5a2,Man's Inner Outer Foes,كلّما وصفت يتقلّب معه أعداؤه الأربعة من المرّة والبلغم والدم والريح والسمّ المميت والهوام والسباع والناس والحرّ والبرد والأمطار والرياح وألوان نكادة الهرم لمن بلغه,كلّ هذا يتقلّب فيما بين أعدائه الأربعة المرّة والدم والبلغم والريح والسمّ المميت والحيّات اللادغة مع خوف السباع والهوامّ واليأس والبرد والحرّ والريح والأمطار ثمّ ألوان عذاب الهوامّ,وفيما وصفت جميعًا يتقلب معه أعداء من المرّة والدم والبلغم والريح والسمّ المصيب والهوام والسباع والناس والحرّ والبرد والأمطار وألوان الهرم,وهو مع ذلك يتقلّب مع أعدائه الباطنين اللازمين له وهي الصفراء والسوداء والريح والبلغم والدم والسمّ المميت والحيّات اللادغة مع الخوف من السباع والهوامّ مع صرف الحرّ والبرد والمطر والرياح ثمّ عذاب أنواع الهرم لمن يبلغ إليه,كلّ هذا يتقلّب فيه ومعدّ أعداؤه الأربعة وهي المرّة والدم والبلغم والريح مع السمّ المميت والحيّات اللدّاغات مع خوف السباع والهوام والناس وخوف الحرّ والبرد والأمطار والرياح ثمّ ألوان العذاب من الكبر والهرم,,ثمّ يتقلّب مع أعدائه الأربع الصفراء والسوداء والدم والبلغم والسمّ المحبّب والحرارة اللاذعة وخوف السلطان ومقاساة الحرّ والبرد والأمطار والرياح ثمّ عذاب أنواع الجوع والعطش والعري وما يليه,كلّ هذا يتقلّب فيه مع أعدائه الأربعة المرّة والدمّ والبلعم والصفراء ثمّ يعرضه السمّ المميت والحيّة اللادغة مع خوف السباع والهوام والوحش والناس وخوف البرد والحرّ والأمطار والرياح ثمّ ألوان من العذاب في الهرم,
76,816069ce-7d8b-407c-8c8b-45ec34065049,Man's Fear Of Death Afterlife,فلو لم يخف من هذه الأمور شيئًا ووثق له بالسلامة منها كان حقيقًا أن يفكّر في الساعة التي يحضر فيها المزت ويفكّر فيما هو نازل به عندها من فراق الأهل والأحبّة والأقارب وكلّ بمضنون به مرغوب فيه والإشراف على الهول العظيم الفظيع المهول بعد الموت لكان حقيقًا,فلو لم يكن يخاف من هذه الأمور شيئًا وقد شرط له بالسلامة منها فلم يفكّر ولم يعتبر إلّا بالساعة التي يحضر فيها الموت وفراق الدنيا فيها ويذكر ما هو نازل به تلك الساعة والإشراف على الهول العظيم المعضِل بعد الموت لكان حقيقًا أن يعدّ عاجزًا مفرطًا ويحتال له جهد حيلته ويرفض ما يشغله ويلهيه من شهوات الدنيا وغرورها,فلو أنّ الإنسان لم يكن يتخوّف من ذلك شيئًا وكان واثقًا بالسلامة منها كان جديرًا بأن يتفكّر في الساعة التي يحضره فيها الموت ويتذكّر ما هو نازل به عند فراق الأحبّة والأقارب وكلّ مظنون به ومرغوب فيه والإشراف على الهول المفظّع العظيم فيترك ما يشغله ويلهيه من شهوات الدنيا ولذّاتها وسرورها,فلو لم يخف من هذه الأمور شيئًا وكان قد أمن فوثق بالسلامة منها فلم يفكّر فيها لوجب عليه أن يعتبر بالساعة التي يحضره فيها الموت فيفارق الدنيا فيتذكّر ما هو نازل به في تلك الساعة من فراق الأحبّة والأهل والأقارب وكلّ مضنون به من الدنيا والإشراف على الهول العظيم بعد الموت فلو لم يفعل ذلك لكان حقيقًا أن يعدّ عاجزًا مفرّطًا محبًّا للدناءة واللؤم فمن ذا الذي يعلم ولا يحتال لغدٍ جهد حيلته ويرفض ما يشغله ويلهيه من شهوات الدنيا وغرورها,فلو لم يخاف الإنسان من هذه الأمور شيئًا وكان من شرطت له السلامة من آفات العوارض فلم يفكّر ولم يعتبر إلّا في الساعة التي يخطر فيها الموت أو يحضر الموت عنده ويفارق فيها الحياة فيذكر ما هو فيه وما هو نازل به تلك الساعة من فراق الأحبّة والأهل والأقارب وكلّ مفتون به من الدنيا والإشراف على هول المطّلع الهائل المعضل بعد الموت لكان حقيقًا أن يعدّ جاهلًا عاجزًا مفرطًا محتملًا للإثم إن لم يفعل هذا ويحتال له جهد الحيلة ويرفض له ما يشغله ويلهيه من شهوات الدنيا وغرورها,,فلو لم يكن يخاف من هذه الأمور شيئًا ووثق بالسلامة منها لكان في الساعة التي يحضره فيها الموت ويفارق فيها الدنيا ويتذكّر ما هو تاركه من فراق الأهل والمال والولد والملك والأحباب والأقارب والحشم والخدم وما يليه وإسرافه على الهول العظيم والخطب الجسيم والأمر المعضل بعد الموت لكان حقيقًا أن يعدّ عاجزًا مفرّطًا محبًّا للدناءة واللؤم فمن ذا الذي لا يعمل لهذا ويحتال له جهد حيلته ويرفض ما يشغله ويلهيه من شهوات الدنيا وغرورها,ولو لم يخف من هذه الأمور شيئًا وكان قد شطّ فوثق بالسلامة فيها كان حقيقًا أن يفكّر في الساعة التي يحضره فيها الموت يذكر ما هو نازلًا به من فراق الأحبّة والأقارب وكلّ مظنون به ممّن عرفه والإشراف على الهول العظيم وأن يعدّ رأيه ضعيفًا وأمره وهنًا إن هو لم يعتدّ لذلك ويتأهّب لفجأته قبل حلوله ونزوله بعقوبته وإن تروّض له ما يشغله ويلهيه من شهوات الدنيا وشرورها,
77,51dcd560-157e-4d11-b734-52639750e6fe,Praise Of King's Virtues,فإنّه وإن كان الله قد جعل الملك سعيد الأمد ميمون النقيبة حازم الرأي بعيد المقدرة رفيع الهمّة بليغ الفحص عدلًا برًّا جوادًا صادقًا شكورًا رحب الذراع منقذًا للحقوق ومواظبًا فيهما حليمًا دونًا رحيمًا,ثمّ لا سيّما هذا الزمان الهرم البالي وإن كان الملك قد جعله الله سعيدًا ميمونًا حازم الرأي رفيع الهمم عدلًا جوادًا صدوقًا شكورًا بصيرًا رفيقًا,لا سيّما في هذا الزمان البالي الشبيه بالصبابة والكدر فإنّه وإن كان الله تعالى قد جعل المَلك سعيد الجدّ ميمون النقيبة حازم الرأي رفيع الهمّة عدلًا برًّا جوادًا صادقًا شكورًا رحب الذراع منفّذًا للحقوق مواظبًا مستمرًّا فهمًا ساكنًا بصيرًا حليمًا صبورًا,ولا سيّما في هذا الزمان الشبيه بالصافي وهو كدر فإنّه وإن كان الملك حازمًا عظيم المقدرة رفيع الهمّة بليغ الفحص عدلًا مرجوًّا صدوقًا شكورًا رحب الذراع مفتقدًا مواظبًا مستمرًّا,ولا سيّما هذا الزمان الهرم البالي الذي هو شبيه بأهله لما فيه من الكدّ والجدّ والصبابة والكدر فإنّه وإن كان الملك قد جعله الله عزّ وجلّ سعيدًا سعيدًا ميمونًا حازم الرأي ذا مقدرة رفيع الهمّة بليغ الفحص عدلًا برًّا جوادًا صدوقًا مشكورًا رحب الذراع متفقّدًا للحقّ متفضّلًا مشيرًا فيهما بصيرًا حليمًا ساكنًا رؤوفًا رفيقًا,,ثمّ لا سيّما في هذا الزمان وإن كان الملك ميمون الحركة حازم الرأي رفيع المقدرة عالي الهمّة سديد الأمر بليغ الفحص عدلًا مرجوًّا صدوقًا شكورًا رحب الذراع متفقّدًا مواظبًا مشمّرًا فقيهًا,لا سيّما في هذ الزمان البالي الشبيه بإلصاق الكدر قال وأركان الملك قد جعله الله ميمون الأمر سعيد الجدّ حازم الرأي بعيد المعذرة رفيع الهمّة عدلًا برًّا جوادًا صادقًا شكورًا رجب الذراع واسع الباع مواظبًا على الكرم صبورًا ديّنًا حليمًا رؤوفًا,
78,03d417e2-1619-4c74-95a6-358c36975572,Praise Of King's Leadership,عالمًا بالناس محبًّا للخير وأهله شديدًا على الظلمة موسّعًا على رعيّته,عالمًا بالناس والأمور محبًّا للعلم والعلماء والخير والأخيار شديدًا على الظلمة رفيعًا بالتوسّع على الرعيّة فيما,عالمًا بالناس محبًّا للخير وأهله شديدًا على الظّلمة موسّعًا على رعيّته دافعًا عنهم,عالمًا بالنّاس والأمور محبًّا للعلم والخير والأخيار شديدًا على الظلمة غير جبان ولا خفيف القياد رفيقًا بالتوسّع على الرعيّة فيما يحبّون والدفع لما يكرهون,عالمًا بالناس وبالأمور محبًّا للعلم وللعلماء وللخير والأخيار شديدًا على الظلمة رفيقًا بالرعيّة موسّعًا عليهم فيما يحبّون دافعًا عنهم ما يكرهون,,عالمًا بالناس والأمور محبًّا للعلم والخير والأخيار شديدًا على الظلمة غير جبان ولا خفيف القيادة رفيقًا بالتوسّع على الرعيّة فيما يحبّون والدفع لما يكرهون,عالمًا بالناس محبًّا للخير وأهله شديد على الظلمة متوسّعًا على رعيّته,
79,4644ec4c-e1ce-40ff-b76f-805247eeb30b,Blame Of Corrupt Virtues,فإنّا نرى الزمان مدبّرًا بكلّ مكان حتّى كأنّ الفضل قد درع وأصبح مفقودًا ما كان عزيزًا منه موجودًا ما هو ضارّ لمن ظفر به وكأنّ الخير أصبح ذابلًا والشرّ بصيرًا وكأنّ الغيّ أقبل ضاحكًا وأدبر الرشد باكيًا وكأنّ العدل أصبح عابرًا وأصبح الجور عاليًا وكأنّ العلم أصبح مستورًا وأصبح الجهل منشورًا وكأنّ اللؤم أصبح أمرًا واضح الكرم موطودًا وكأنّ الودّ أصبح مقطوعًا وأصبح الحقد موصولًا وكأنّ الكرامة قد سلبت من الصالحين وتوخّى بها الأشرار وكأنّ الغدر أصبح مستيقظًا وأصبح الوفاء نائمًا وكأنّ الكذب أصبح عطاءً والصدق قاحلًا وكأنّ الحقّ ولّى غائرًا وأصبح العدوان قد جرى سبيله والإنصاف بائسًا والباطل مثقلًا والهوى بالحكّام موكّلًا والمظلوم بالحيف مقرًّا والظالم لنفسه فيه مستطيلًا والحرص فاغر فاه يتلقّف من كلّ جهة ما قرب منه وما بعد عنه والرضا مجهود مفقود والأشرار يسامون السماء والأبرار يريدون بطن الأرض وأصبحت المروءة مقذوفًا بها من أعلى شرف إلى أسفل مهوًا والدناءة,فإنّا على ذلك نرى الزمان مدبرًا لكلّ مكان وكلّ أمور الصدق قد توزّعت من الناس فأصبح مفقودًا ما هو عزيز فقده موجود ما هو ضارّ وجوده وكأنّ العلم أصبح مدفونًا والجهل منشورًا والكرم مطويًّا وكأنّ الودّ أصبح مقطوعًا والبغض والحقد موصولًا وكأنّ الكرامة قد سُلبتْ من الصالحين وتوخّى بها الأشرار وكأنّ الحبّ قد استيقظ وأصبح مستيقظًا والوفاء نائمًا وكأنّ الكذب أصبح مثمرًا والصدق قاحلًا يابسًا وكأنّ الجور أصبح قد أنارت سبله والعدل ذاهبًا غائرًا ناضبًا وكأنّ الهوى وإضاعة الحكم أصبح بالحاكم موكّلًا وأصبح المظلوم بالخسف مقرًّا والظالم لنفسه مستبطنًا وكأنّ الحرص أصبح فاغرًا فاه من كلّ جهة يتلقّف ما قرب منه وما بعد وكأنّ الرضى أصبح مجهّلًا والسخط معلومًا وكأنّ الجهّال أصبحوا يسامون السماء وأصبح الأبرار الأخيار يريدون بطن الأرض وأًصبحت المروءة من أعلى شرف إلى أسفل وأصبحت الدناءة مكرّمة متمكّنة,نرى الزمان مع ذلك مدبرًا بكلّ مكان حتّى كأنّ الفضل قد ودّع أهله وأصبح مفقودًا ما كان من ذلك عزيزًا منه موجودًا فما ظنّك بزمن أضحى الضرّ فيه حاصلًا والخير زائلًا والشرّ منصورًا والغيّ ضاحكًا والرشد باكيًا والغدر ظاهرًا والجود فائضًا والعلم مدفونًا والجهل منشورًا والودّ مقطوعًا والحقد موصولًا والكرامة مسلوبة من الصالحين والوفاء نائمًا والكذب مثمرًا والصدق ماحلًا والإنصاف نائيًا والحقّ غابرًا والباطل ممتثلًا والهواء بالأحكام موكّلًا والمظلوم مقهورًا والظالم مستظهرًا والحرص فاغر فاغر فاه يتلقّف ما بعُد منه وما قرب والرضا مجهولًا والأشرار يسامون السماء والأخيار في بطون الأرض والمروءة مقذوف بها من أعلى شرف إلى أسفل حضيض والدناءة مكرّمة,فإنّا قد نرى الزمان مدبرًا بكلّ مكان وكأنّ أمور الصدق قد نزعت من الناس فأصبح ما كان عزيزًا مفقودًا وموجودًا ما كان ضائرًا وجوده وكأنّ الخير أصبح زائلًا والشرّ ناضرًا وكأنّ الفهم قد أصبح وقد زالت سبله وكأنّ الحقّ ولّى كسلًا وأقبل الباطل يانعًا وكأنّ اتّباع الهوى وإضاعة الحكم بالحكّام موكّلًا وأصبح المظلوم بالحيف مقبرًا والظالم لنفسه مشيطنًا وكأنّ الحرص مجهول وكأنّ الأشرار يستامون السماء وكأنّ الأخيار يريدون بطن الأرض وأصبحت المروءة مدفوعًا عنها من أعلى شرف إلى أسفل درك وأصبحت الدنيا مكرّمة ممكّنة,فإنّا على ذلك قد نرى الزمان مدبّرًا بكلّ مكان والخير قليلًا في الناس وكلّ أمور الصدق عدمت من الناس فأصبح مفقودًا ما هو عزيز فقده موجودًا ما هو ضارّ وجوده وكأنّ الخير أصبح زائلًا والشرّ أصبح ناصرًا وكأنّ الغيّ أصبح ضاحكًا وأدبر الرّشد باكيًا وكأنّ العدل أصبح غائرًا والجود أصبح طائبًا وكأنّ العلم أصبح مدفونًا والجهل أصبح منشورًا وكأنّ اللؤم أصبح ناشرًا والكرم أصبح مطويًّا وكأنّ الودّ أصبح مقطوعًا والحقد والنقص أصبحا موصولين وكأنّ الكرامة قد سلبت من الصالحين وتوخّى بها الأشرار وكأنّ العدوّ أصبح مستيقظًا والوفاء أصبح نائمًا وكأنّ الكذب أصبح مثمرًا والصدق أصبح ماحلًا يابسًا وكأنّ الحقّ ولّى غائرًا والباطل أصبح ظاهرًا,,فإنّا على ذلك نرى الزمان مدبرًا بكلّ مكان وكلّ أمور الصدق قد فزعت من أهلها والوفاء قد عدم من بينها فأصبح عزيزًا لفقده وكأنّ الخير أصبح ذابلًا وا والشرّ يانعًا وكأنّ الغيّ أصبح ضاحكًا والعلم مدفونًا وباكيًا وكأنّ الجهل أصبح منشورًا مأثورًا وكأنّ الرشد حزينًا مقهورًا وكأنّ العدل غائرًا والجور غالبًا وكأنّ اللؤم أصبح ظاهرًا والكرم متضائلًا وكأنّ الودّ أصبح مقطوعًا والبغضاء والفجور موصلًا وكأنّ الكرامة قد سُلبتْ من الصالحين وتوّج بها الأشرار والصالحون وكأنّ الخبث أًصبح مستيقظًا والصلاح نائمًا وأصبح الكذب مشمّرًا والصدق بائسًا وكأنّ الفهم أًصبح رزيئًا مثلًا وكأنّ الحقّ قد تولّى وأقبل الباطل عجلًا وكأنّ اتّباع الهوى والحكم أصبح بالحكّام موكّلًا وأصبح المظلوم بالأدباء مقرًّا والظالم على ظلمه مصرًّا وأصبح المعروف مجهولًا والمنكر مقبولًا وكأنّ الأشرار يرومون صعود السماء والأخيار يريدون بطون الأرض الثرى,فإنّا نرى الأمور مدبّرة بكلّ مكان حتّى كان القضاء قد ودّع وأصبح مفقودًا ما كان من ذلك عزيزًا موجودًا والخير ذليلًا والشرّ بصيرًا والغيّ ضاحكًا والرشد باكيًا والعدل عامرًا والبرد قارصًا والجهل منشورًا والحزم مجذولًا والكرم حائرًا والودّ مقطوعًأ والحقد موصولًا والغدر مستيقظًا والوفاء نائمًا والكذب مستمرًّا والصدق قاحلًا والإنصاف فاشيًا والحقّ غائرًا والباطل مستعلًا والحكم بالهوى والظلم بالخسف مقرًّا والرضا مجهولًا والأشرار يتساومون السماء والأبرار في باطن الأرض والمروءة مقذوف بها,
80,fceb67eb-6d6a-4ef1-899a-5768386c1406,Blame Of Corrupt Leaders,والسلطان منتقلًا من أهل الفضل إلى أهل النقص والدنيا جذلة مسرورة يقول غيّبت الحسان وأظهرت السيّئات فلمّا,وأصبح السلطان منتقلًا من أهل الشرف إلى أهل النقل وكأنّ الدنيا أصبحت جذلة مسرورة فرحة تقول غيّبتُ الخيرات وأظهرت السيّئات,والسلطان منتقلًا عن أهالي الفضل إلى أهالي النقص والدنيا جذلة مسرورة تقول قد غُيّبت الخيرات وظهرت السيئات فلمّا,وأصبح السلطان منتقلًا عن أهل الفضل إلى أهل النقص وكأنّ الدنيا جذلة مسرورة تقول قد غيّبتُ الخيرات وأظهرت السيّئات,وكأنّ اتّباع الهوى وإضاعة الحكم أصبح بالحكّام موكّلًا وأصبح المظلوم بالحيف مقرًّا والظالم بقوّة اليد متظاهرًا وكأنّ الحرص فاغر فاه من كلّ جهة يتلقّف ما قرب منه وما بعد وكأنّ القناعة قد أصبحت مجهولة وكأنّ الأشرار قد أصبحوا يتسامون إلى الهوى وأصبح الأبرار يزيدون هبوطًا إلى بطن الأرض وكأنّ المروءة معروفاتها من أعلى شرف إلى أسفل سفل وأصبحت الدناءة متمكّنة وأصبح السلطان منتقلًا من أهل الفضل إلى أهل النقص وكأنّ الدنيا أصبحت جدلة مسرورة فرحة تقول غيّرت الخيرات وأظهرت السيّئات,,وأصبح أهل المروءة مقذوفين من أعلاء شرف إلى أسفل درك وكأنّ لسان الحال بينهم ينادي في كلّ نادي قد فنيَتْ الحيرات وظهرتْ السيّئات,والسلطان حائرًا والدنيا جذلة مسرورة تقول غيّبت الخيرات وأظهرت السيّئات,
81,fb3afcf7-f9a3-4e44-b87d-18c0367d73f8,Man Fails To Seek Salvation,فكّرت في أمر الدنيا وعلمت أنّ هذا الإنسان هو أشرف الخلق وأفضله فيها ثمّ هو على منزلته لا يتقلّب إلّا في سرور ولا يوصف إلّا به علمت أنّه ليس من أحد له أدنى عقل يفهم هذا ثمّ يحتاط لنفسه ولا يعمل لنجاتها ويلتمس الخلاص لها إلّا هو ضعيف الرأي قليل المعرفة بما عليه وله,فلمّا فكّرت في الدنيا وأمورها وأنّ هذا الإنسان هو أشرف الخلق وأفضله فيها ثمّ هو في منزله لا يتقلّب إلّا على شرّ ولا يوصف إلّا به وعرفت أنّه ليس أحد أدنى له عقل إلّا هو يفعل هذا ثمّ لا يحتال لنفسه ولا يعمل لنجاتها عجبت من ذلك العجب كلّه,فكّرت في الدنيا وعلمت أنّ هذا الإنسان هو أشرف,فلمّا فكّرت في الدنيا وأمورها وأنّ الإنسان هو أشرف الخلق فيها وأفضله ثمّ هو لا يتقلّب إلّا في الشرور والهموم عرفت أنّه ليس إنسان ذو عقل إلّا وقد أغفل هذا ولم يعمل لنفسه ويحتل لنجاتها فعجبت من ذلك كلّ العجب,فلمّا فكّرت في الدنيا وفي أمورها وما فيها من قبح الفعال وأنّ هذا الإنسان هو أشرف الخلق وأفضله فيها ثمّ هو في منزلة لا يتقلّب إلّا على شرّ ولا يوصف إلّا به وعرفت أنّه ليس من أحد له أدنى عقل إلّا وهو يغفل ذلك ثمّ لا يحتال لنجاة نفسه,,فلمّا فكّرت في هذه الأمور وتحقّقت أنّ الإنسان إنّما يتقلّب في الهموم والشرور وهو في طلبه للدنيا مغرور فعرفت أنّ منزله أدنى عقل وقد عقل هذه الأشياء ثمّ لم يجعل لنفسه ويعمل لنجاتها من ذلك لكان جديرًا أن يكون أسوء حالًا من الحيوان الذي لا عقل له وهيهات أن يكون كذلك,فكلّما فلمّا فكّرت في أمر الدنيا وعلمت أنّ هذا الإنسان هو أشرف الخلق وأقصاه ثمّ هو على منزلة لا ينفكّ إلّا في شرّ لا يوصف به وعرفت أنّه ليس من أحد له عقل يفهم هذا ثمّ لا يحتال لنجاة نفسه ويلتمس الخلاص لها إلّا وهو ضعيف الرأي قليل المعرفة بما عليه له,
